id_subsistema;nom_subsistema;id_estado;nom_estado;nom_pontoconexao;nom_localizacao;val_latitudesecoletora;val_longitudesecoletora;val_latitudepontoconexao;val_longitudepontoconexao;nom_modalidadeoperacao;nom_tipousina;nom_usina_conjunto;id_ons;ceg;din_instante;val_geracaoprogramada;val_geracaoverificada;val_capacidadeinstalada;val_fatorcapacidade
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 18:00:00;0E-8;0E-8;105.00000000;0E-20
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 19:00:00;0E-8;0E-8;105.00000000;0E-20
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 20:00:00;0E-8;2.48000000;105.00000000;0.02361904761904761904
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 21:00:00;0E-8;6.31000000;105.00000000;0.06009523809523809523
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 22:00:00;0E-8;6.87000000;105.00000000;0.06542857142857142857
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-03 23:00:00;0E-8;5.89000000;105.00000000;0.05609523809523809523
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 00:00:00;0E-8;4.69000000;105.00000000;0.04466666666666666666
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 01:00:00;0E-8;3.56000000;105.00000000;0.03390476190476190476
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 02:00:00;0E-8;2.53000000;105.00000000;0.02409523809523809523
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 03:00:00;0E-8;3.93000000;105.00000000;0.03742857142857142857
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 04:00:00;0E-8;3.77000000;105.00000000;0.03590476190476190476
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 05:00:00;0E-8;0.70000000;105.00000000;0.00666666666666666666
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 06:00:00;0E-8;4.19000000;105.00000000;0.03990476190476190476
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 07:00:00;0E-8;4.98000000;105.00000000;0.04742857142857142857
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 08:00:00;0E-8;6.82000000;105.00000000;0.06495238095238095238
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 09:00:00;0E-8;14.05000000;105.00000000;0.13380952380952380952
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 10:00:00;0E-8;17.13000000;105.00000000;0.16314285714285714285
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 11:00:00;0E-8;14.47000000;105.00000000;0.13780952380952380952
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 12:00:00;0E-8;11.29000000;105.00000000;0.10752380952380952380
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 13:00:00;0E-8;7.83000000;105.00000000;0.07457142857142857142
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 14:00:00;0E-8;4.17000000;105.00000000;0.03971428571428571428
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 15:00:00;0E-8;4.87000000;105.00000000;0.04638095238095238095
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 16:00:00;0E-8;8.93000000;105.00000000;0.08504761904761904761
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 17:00:00;0E-8;6.47000000;105.00000000;0.06161904761904761904
NE;Nordeste;CE;CEARA;SOBRAL III - 230 kV (A);Litoral;-2.919422;-41.03165;-3.690358;-40.300463;Tipo I;Eólica;Praia Formosa;CEUFM;EOL.CV.CE.028631-1.01;2009-07-04 18:00:00;0E-8;1.96000000;105.00000000;0.01866666666666666666
