id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
N,Norte,01/03/2001,2537.658333
N,Norte,02/03/2001,2555.825
N,Norte,03/03/2001,2475.070833
N,Norte,04/03/2001,2411.404167
N,Norte,05/03/2001,2571.7
N,Norte,06/03/2001,2608.2875
N,Norte,07/03/2001,2442.041667
N,Norte,08/03/2001,2568.766667
N,Norte,09/03/2001,2612.491667
N,Norte,10/03/2001,2470.025
N,Norte,11/03/2001,2382.020833
N,Norte,12/03/2001,2535.966667
N,Norte,13/03/2001,2514.4
N,Norte,14/03/2001,2544.541667
N,Norte,15/03/2001,2550.158333
N,Norte,16/03/2001,2555.683333
N,Norte,17/03/2001,2470.370833
N,Norte,18/03/2001,2368.566667
N,Norte,19/03/2001,2549.929167
N,Norte,20/03/2001,2562.995833
N,Norte,21/03/2001,2581.3
N,Norte,22/03/2001,2585.616667
N,Norte,23/03/2001,2570.516667
N,Norte,24/03/2001,2462.55
N,Norte,25/03/2001,2390.195833
N,Norte,26/03/2001,2569.783333
N,Norte,27/03/2001,2579.416667
N,Norte,28/03/2001,2587.054167
N,Norte,29/03/2001,2587.679167
N,Norte,30/03/2001,2536.641667
N,Norte,31/03/2001,2483.629167
N,Norte,01/04/2001,2395.845833
N,Norte,02/04/2001,2544.341667
N,Norte,03/04/2001,2560.458333
N,Norte,04/04/2001,2558.841667
N,Norte,05/04/2001,2562.241667
N,Norte,06/04/2001,2587.0125
N,Norte,07/04/2001,2505.5375
N,Norte,08/04/2001,2430.4
N,Norte,09/04/2001,2582.4625
N,Norte,10/04/2001,2601.975
N,Norte,11/04/2001,2591.333333
N,Norte,12/04/2001,2550.604167
N,Norte,13/04/2001,2414.845833
N,Norte,14/04/2001,2486.78125
N,Norte,15/04/2001,2429.429167
N,Norte,16/04/2001,2593.6525
N,Norte,17/04/2001,2603.6125
N,Norte,18/04/2001,2595.041667
N,Norte,19/04/2001,2609.55625
N,Norte,20/04/2001,2572.929167
N,Norte,21/04/2001,2461.045833
N,Norte,22/04/2001,2403.641667
N,Norte,23/04/2001,2591.983333
N,Norte,24/04/2001,2617.95
N,Norte,25/04/2001,2624.998333
N,Norte,26/04/2001,2636.329167
N,Norte,27/04/2001,2635.225
N,Norte,28/04/2001,2534.3125
N,Norte,29/04/2001,2436.170833
N,Norte,30/04/2001,2581.870833
N,Norte,01/05/2001,2457.375
N,Norte,02/05/2001,2654.879167
N,Norte,03/05/2001,2646.033333
N,Norte,04/05/2001,2664.608333
N,Norte,05/05/2001,2571.895833
N,Norte,06/05/2001,2454.198333
N,Norte,07/05/2001,2649.2875
N,Norte,08/05/2001,2667.8125
N,Norte,09/05/2001,2652.833333
N,Norte,10/05/2001,2664.325833
N,Norte,11/05/2001,2661.736667
N,Norte,12/05/2001,2565.954167
N,Norte,13/05/2001,2478.570833
N,Norte,14/05/2001,2638.358333
N,Norte,15/05/2001,2659.975
N,Norte,16/05/2001,2651.2375
N,Norte,17/05/2001,2652.804167
N,Norte,18/05/2001,2649.466667
N,Norte,19/05/2001,2555.5875
N,Norte,20/05/2001,2466.5125
N,Norte,21/05/2001,2625.408333
N,Norte,22/05/2001,2638.941667
N,Norte,23/05/2001,2638.595833
N,Norte,24/05/2001,2613.4875
N,Norte,25/05/2001,2618.295833
N,Norte,26/05/2001,2535.241667
N,Norte,27/05/2001,2444.75
N,Norte,28/05/2001,2653.358333
N,Norte,29/05/2001,2674.566667
N,Norte,30/05/2001,2662.6875
N,Norte,31/05/2001,2654.25
N,Norte,01/06/2001,2626.333333
N,Norte,02/06/2001,2555.483333
N,Norte,03/06/2001,2448.066667
N,Norte,04/06/2001,2580.283333
N,Norte,05/06/2001,2584.225
N,Norte,06/06/2001,2558.579167
N,Norte,07/06/2001,2588.95
N,Norte,08/06/2001,2587.34
N,Norte,09/06/2001,2501.400833
N,Norte,10/06/2001,2408.243333
N,Norte,11/06/2001,2578.879167
N,Norte,12/06/2001,2567.025
N,Norte,13/06/2001,2572.733333
N,Norte,14/06/2001,2448.954167
N,Norte,15/06/2001,2456.108333
N,Norte,16/06/2001,2547.129167
N,Norte,17/06/2001,2460.666667
N,Norte,18/06/2001,2626.016667
N,Norte,19/06/2001,2645.35
N,Norte,20/06/2001,2602.291667
N,Norte,21/06/2001,2639.770833
N,Norte,22/06/2001,2610.433333
N,Norte,23/06/2001,2527.841667
N,Norte,24/06/2001,2426.883333
N,Norte,25/06/2001,2578.229167
N,Norte,26/06/2001,2618.183333
N,Norte,27/06/2001,2590.370833
N,Norte,28/06/2001,2518.741667
N,Norte,29/06/2001,2408.075
N,Norte,30/06/2001,2317.979167
N,Norte,01/07/2001,2154.304167
N,Norte,02/07/2001,2302.63375
N,Norte,03/07/2001,2296.925
N,Norte,04/07/2001,2296.333333
N,Norte,05/07/2001,2311.6875
N,Norte,06/07/2001,2294.1875
N,Norte,07/07/2001,2195.833333
N,Norte,08/07/2001,2113.3
N,Norte,09/07/2001,2254.583333
N,Norte,10/07/2001,2264.620833
N,Norte,11/07/2001,2282
N,Norte,12/07/2001,2271.425
N,Norte,13/07/2001,2271.345833
N,Norte,14/07/2001,2152.666667
N,Norte,15/07/2001,2068.208333
N,Norte,16/07/2001,2224.3375
N,Norte,17/07/2001,2253.695833
N,Norte,18/07/2001,2258.620833
N,Norte,19/07/2001,2256.595833
N,Norte,20/07/2001,2239.679167
N,Norte,21/07/2001,2141.870833
N,Norte,22/07/2001,2061.479167
N,Norte,23/07/2001,2207.866667
N,Norte,24/07/2001,2245.229167
N,Norte,25/07/2001,2202.775
N,Norte,26/07/2001,2214.241667
N,Norte,27/07/2001,2240.7
N,Norte,28/07/2001,2211.5625
N,Norte,29/07/2001,2057.3875
N,Norte,30/07/2001,2215.2
N,Norte,31/07/2001,2277.683333
N,Norte,01/08/2001,2273.1875
N,Norte,02/08/2001,2252.416667
N,Norte,03/08/2001,2259.383333
N,Norte,04/08/2001,2161.445833
N,Norte,05/08/2001,2099.141667
N,Norte,06/08/2001,2158.354167
N,Norte,07/08/2001,2270.255
N,Norte,08/08/2001,2265.909167
N,Norte,09/08/2001,2239.341667
N,Norte,10/08/2001,2237.5375
N,Norte,11/08/2001,2147.358333
N,Norte,12/08/2001,2054.45
N,Norte,13/08/2001,2190.333333
N,Norte,14/08/2001,2187.041667
N,Norte,15/08/2001,2116.279167
