MUNICÍPIO - UF,UF,LATITUDE,LONGITUDE
CARUARU - PE,PE,-8.285898,-35.96707336
CARVALHOS - MG,MG,-21.99670538,-44.46601507
CASA NOVA - BA,BA,-11.77403262,-39.22712307
CASCA - RS,RS,-28.55987402,-51.98323266
CASCAVEL - PR,PR,-24.9537975,-53.45972218
CASSILÂNDIA - MS,MS,-19.10940737,-51.73157689
CASTANHAL - PA,PA,-1.295756805,-47.92664314
CASTELO - ES,ES,-20.60206509,-41.2022127
CASTILHO - SP,SP,-20.87202655,-51.48940706
CASTRO - PR,PR,-24.7954175,-50.00281113
CATAGUASES - MG,MG,-21.38924842,-42.69208461
CATALÃO - GO,GO,-18.16957336,-47.94770322
CATANDUVA - SP,SP,-21.1395385,-48.97587094
CATANDUVAS - SC,SC,-27.07203522,-51.6589481
CATENDE - PE,PE,-8.6703075,-35.72166666
CATU - BA,BA,-12.35518656,-38.3762943
CAUCAIA - CE,CE,-3.736487,-38.66401754
CAVALCANTE - GO,GO,-13.79927851,-47.46343619
CAXAMBU DO SUL - SC,SC,-27.16128178,-52.88047489
CAXIAS - MA,MA,-4.86167499,-43.35853943
CAXIAS DO SUL - RS,RS,-29.16689901,-51.17886021
CAÇADOR - SC,SC,-26.77534767,-51.01903476
CAÇAPAVA - SP,SP,-23.10066375,-45.70773037
CAÇAPAVA DO SUL - RS,RS,-30.51474323,-53.48756892
CAÇU - GO,GO,-18.56305062,-51.13352861
CEARÁ-MIRIM - RN,RN,-5.640983592,-35.42448693
CEDRAL - SP,SP,-20.90423192,-49.27284155
CENTRALINA - MG,MG,-18.58538551,-49.19628257
CERQUEIRA CÉSAR - SP,SP,-23.0347975,-49.16533017
CERQUILHO - SP,SP,-23.1686725,-47.73753133
CERRO CORÁ - RN,RN,-6.034827193,-36.34574144
CERRO GRANDE - RS,RS,-27.60798013,-53.16591308
CHALÉ - MG,MG,-20.04425334,-41.69220701
CHAPADA DOS GUIMARÃES - MT,MT,-15.46056968,-55.74500452
CHAPADA GAÚCHA - MG,MG,-15.29980872,-45.62558444
CHAPADÃO DO CÉU - GO,GO,-18.3940322,-52.6708006
CHAPADÃO DO SUL - MS,MS,-18.79777312,-52.62635571
CHAPECÓ - SC,SC,-27.10683702,-52.61703111
CHAVANTES - SP,SP,-23.03200563,-49.71393615
